求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
13010-10464102,ゲーム、Ｗｅｂ、プログラマー,・スマホゲーム開発開発環境はＵｎｉｔｙ、ＵｎｒｅａｌＥｎｇｉｎｅ全工程を担当して頂きます。言語はＣ＃　Ｃ＋　,"278,000円〜480,000円","										（1）09時00分〜19時00分
",株式会社　Ｒｕｎｐａｔｈ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010464102&kJKbn=1&jGSHNo=nkVi6v%2Beo4SLwTE8Gyl%2Bag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10499102,通信会社向けクレジットカード（上流）,通信会社向けクレジットカード（上流）のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"350,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010499102&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10503102,ＰＭＯ,ＰＭＯのお仕事です。・３年以上のブランク、転職回数の多い方、未経験者応募可・他県からのご応募の方も歓迎※寮あり,"300,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010503102&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09517102,ＪＡＶＡエンジニア,＜ＪＡＶＡエンジニア＞　設計から評価まで、能力に合わせて調整します。　基幹システムや業務系ツールまで幅広く案件有。,"210,000円〜410,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009517102&kJKbn=1&jGSHNo=4zbqXyghWA3y1ipbTnDhyg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09562602,業務系システムエンジニア,業務系システムのソフトウェア設計、開発、保守の仕事です＊下記いずれかの経験があり、意欲のある方,"230,000円〜430,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009562602&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09563002,Ａｎｄｒｏｉｄ開発技術者,Ａｎｄｒｏｉｄでのプログラム開発言語：Ｊａｖａ、Ｃ＋＋、Ｃ＃、．ＮＥＴ,"230,000円〜430,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009563002&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09564302,組込系・制御系システムエンジニア,組込系・制御系システムのソフトウェア設計、開発、保守の仕事です。＊下記いずれかの経験があり、意欲のある方,"230,000円〜430,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009564302&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-67795701,現行システム改修（東京都千代田区）,Ｊａｖａによるバッチ作成、試験、改修,"266,000円〜578,200円","										（1）09時00分〜18時00分
",株式会社　サーバントップ　大阪支店,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702067795701&kJKbn=1&jGSHNo=Z6l3rab7q9MxTeR5baFj%2BQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-67798501,システム開発支援チームリーダ（東京都千代田区）,少人数チームのリーダーを行って頂きます。設計から開発を行っていきます。,"266,000円〜578,200円","										（1）09時00分〜18時00分
",株式会社　サーバントップ　大阪支店,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702067798501&kJKbn=1&jGSHNo=Z6l3rab7q9MxTeR5baFj%2BQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08815702,社内ＳＥ／東京本社,社内で使用しているシステムやＰＣ等の管理、運用・業務システムの開発・運用・保守・サーバの運用・保守,"250,000円〜350,000円","										（1）08時50分〜17時50分
",株式会社　ビルディング企画,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008815702&kJKbn=1&jGSHNo=gvAh0IG3ejBcEkrhsGogig%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08839402,病院情報インフラの保守運用,お客様先の病院情報システム（電子カルテ等）及び院内の情報インフラを運用保守する仕事です。お客様からの障害報告等の相談を契機としてその内容をヒアリングして調査し、ベンダー等とコミュニ,"300,000円〜400,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008839402&kJKbn=1&jGSHNo=%2FDUf7az4Gn2KXCcI%2BE508Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09180802,インフラエンジニア,■募集案件　：インフラエンジニア■以下いずれかの経験者歓迎　・サーバーもしくはネットワークの設計・構築・運用経験,"230,000円〜440,000円","										（1）09時00分〜17時30分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009180802&kJKbn=1&jGSHNo=B2PEtUfOA707ebDF3WbI7Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-09406202,ＩＴエンジニア,大手ユーザー、大手メーカーのシステム開発／構築など実装、運用保守まで一貫した業務に対応できるのでスキルアップが望めます。,"175,000円〜500,000円","										（1）09時00分〜18時00分
",スタックテクノロジー株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301009406202&kJKbn=1&jGSHNo=SZ9tun%2Fxh5ir9fVBe9YqYA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-41423001,クラウドサービス基盤運用（ＶＭＷａｒｅ，飯田橋）,■作業（概要）　　　　クラウドサービス利用のるＷｉｎｏｄｗｓサーバにおいてＡｃｔｉｖｅＤｉｒｅｃｔｏｒｙ（ＡＤ）のを含むサーバ移行作業。,"300,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　富士三和総研,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309041423001&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08554002,データベース開発／未経験歓迎,・データベース設計，チューニング，検証・上記業務の補助,"201,000円〜280,000円","										（1）09時30分〜18時00分
",株式会社　システム・プラウド,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008554002&kJKbn=1&jGSHNo=j1eBevY9e6QfIGR8mhjI3g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08688702,【急募】ＶＢ、ＶＢ．ＮＥＴ、技術者（ＳＥ・ＰＧ）,要件定義・基本設計・詳細設計・製造・試験・保守。いずれかのフェーズをご担当して頂きます。＊ロースキルＯＫ,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008688702&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08689802,【急募】サーバ構築技術者（設計、構築、保守、運用等）,インフラの設計、サーバ構築、保守、運用管理。＊スキルや経験に適したプロジェクトをアサインします。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008689802&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08692302,【急募】Ｊａｖａ又はＰＨＰ（ＳＥ・ＰＧ）ロースキルＯＫ,要件定義・基本設計・詳細設計・製造・試験・保守。いずれかのフェーズをご担当して頂きます。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008692302&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08696702,【急募】ＳＥ・ＰＧ（言語不問）,要件定義・基本設計・詳細設計・製造・試験・保守。いずれかのフェーズをご担当して頂きます。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008696702&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08697802,【急募】Ｃ＃、Ｃ＋＋技術者（ＳＥ・ＰＧ）ロースキルＯＫ,要件定義・基本設計・詳細設計・製造・試験・保守。いずれかのフェーズをご担当していただきます。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008697802&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08699502,【急募】ＣＯＢＯＬ技術者（ＳＥ・ＰＧ）経験者優遇,要件定義・基本設計・詳細設計・製造・試験・保守。いずれかのフェーズをご担当して頂きます。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008699502&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08701702,【急募】ネットワークエンジニア（設計、構築、保守、運用）,ネットワークの設計、構築、保守、運用管理。＊スキルや経験に適したプロジェクトをアサインします。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ヒュペリオンテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008701702&kJKbn=1&jGSHNo=8RlzD7YIGQ%2BodW93dLrTwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08774102,プロジェクト管理,顧客への企画・提案顧客の要望聴取及び設計書作成開発者への説明及び進捗管理,"300,000円〜600,000円","										（1）10時00分〜19時00分
",株式会社　モバイルインターネットテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008774102&kJKbn=1&jGSHNo=JqA0F6MH0vGfFTi27iVRAA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
17010-24980901,システムエンジニア、プログラマー,民間企業、地方自治体向けのソフトウェア開発・保守を担当していただきます。地方自治体、社会基盤を支える企業が取引先に多く、仕事を通じて,"179,600円〜198,400円","										（1）09時00分〜18時00分
",株式会社シー・アイ・　ティ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1701024980901&kJKbn=1&jGSHNo=yfrSEGya0Hwn4P%2FPic81ng%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
