求人番号,職種,仕事の内容,賃金,就業時間,事業所名,詳細
08020-00453011,Ａｎｄｒｏｉｄ技術者,※ＡｎｄｒｏｉｄＯＳのポーティング業務　　　　　～　急募　～,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000453011&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01675011,Ａｎｄｒｏｉｄ技術者,＊ＡｎｄｒｏｉｄＯＳのポーティング業務　　　～　急募　～,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001675011&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00444411,ＩＴエンジニア（ＳＥ／プログラマー）,ソフトウェア開発業務　・画面作成が主　・顧客との打ち合わせ（仕様・スケジュールなど）,"170,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　ダンク,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000444411&kJKbn=1&jGSHNo=L0p2sOTmiHoF1uAHRjkM9g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01190311,ＩｏＴプラットフォームシステム開発（ＳＥ）,ＩｏＴプラットフォームシステムの開発《開発環境》,"330,000円〜500,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　茨城営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001190311&kJKbn=1&jGSHNo=JhG1mokBupVuGeEsyIohPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-01230511,ソフト開発ＳＥ,下記の業務を行っていただきます。※Ｗｅｂ系、オープン系、制御系、組込み系（通信機器他）　のシステムの設計～プログラミング～テスト作業,"220,000円〜400,000円",フレックスタイム制,株式会社東日本技術研究所　土浦事業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804001230511&kJKbn=1&jGSHNo=3R9CQZwdUeNxGRrGK77Ihw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01053911,システムエンジニア（Ｊａｖａ）,＊業務系システムの開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001053911&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00321211,システムエンジニア（制御系）,＊制御システムの設計及び開発を担当していただきます。【開発環境】,"280,000円〜480,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000321211&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01018411,システムエンジニア（ＳＡＰ技術者）,＊ＳＡＰを使用して、製造業向けの基幹システム開発支援を行います。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001018411&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01020911,システムエンジニア（製造管理システム開発）,＊製造管理システムの開発に携わって頂きます。※Ｃ＋＋もしくはＣ＋＋Ｂｕｉｌｄｅｒでの開発経験があれば尚可,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001020911&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01021111,システムエンジニア（業務アプリケーション開発）,コンピュータソフトウェアの設計、開発（通信、公共、金融、流通、医療などに対する業務アプリケーションの設計、開発）,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001021111&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01023811,システムエンジニア（金融系）,＊下記の業務を行って頂きます。・金融系システム開発、保守、運用となります。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001023811&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
