求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,事業所名,就業場所,URL
08010-23697201,プログラマー・ＳＥ,,"200,000円〜400,000円",フレックスタイム制,土日祝他,制限あり,株式会社ユートピア,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023697201&kJKbn=1&jGSHNo=zBrWtPy9EVE9w7XKyht4ZA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23621201,システムエンジニア（Ｗｅｂ系）,,"250,000円〜440,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,フィット産業株式会社水戸営業所,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023621201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23644101,システムエンジニア（セキュリティエンジニア）,,"191,500円〜386,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023644101&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05720901,システムエンジニア（鉄道運行管理制御システム）,,"250,000円〜480,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,フィット産業株式会社北関東支社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005720901&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05683901,プログラマー（生産管理システム）（未経験者）,,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,フィット産業株式会社北関東支社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005683901&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-20889801,コンピュータシステムのＳＥおよびＰＧ,,"164,000円〜240,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,有限会社オリコン情報技研,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804020889801&kJKbn=1&jGSHNo=q%2FZwVhNxAntYymMoG4iKOQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22835101,社内システムエンジニア,,"230,460円〜265,460円",変形労働時間制,日祝他,制限あり,常洋水産株式会社,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022835101&kJKbn=1&jGSHNo=Ts%2FwGP6kvdXI1e4rFv4lEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22927801,ソフトウエア開発,,"150,000円〜320,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022927801&kJKbn=1&jGSHNo=NtVYvzJv68P3hNp2ZW193w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05523801,システムエンジニア（生産管理システム）,,"250,000円〜480,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,フィット産業株式会社北関東支社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005523801&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22574801,プログラマー、会計システム開発,,"175,500円〜210,500円","										（1）09時00分〜17時45分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022574801&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22575201,プログラマー（制御系エンジニア）,,"175,500円〜210,500円","										（1）09時00分〜17時45分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022575201&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22577001,プログラマー（組込系エンジニア）,,"175,500円〜210,500円","										（1）09時00分〜17時45分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022577001&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22579601,プログラマー（汎用系システム開発）,,"175,500円〜210,500円","										（1）09時00分〜17時45分
",土日祝他,制限あり,（事業所の意向により公開していません）,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022579601&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
