求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
40010-64687001,システムエンジニア・プログラマー（正）／東京都,※製造業向けＰＬＭシステム（製品ライフサイクル管理）※流通業向け販売管理システム※製造業向け生産管理支援システム,"250,000円〜400,000円","										（1）08時30分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4001064687001&kJKbn=1&jGSHNo=RQJaV9nOD10QWMQDIWUAIA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05233702,データサイエンティスト（エンジニア）,将来データサイエンティストとしてデータの分析業務に携わりたい方を募集します。ＩＴ業界未経験の方をしっかりと５年以上かけてデータサイエンティストに育てていきます。,"200,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005233702&kJKbn=1&jGSHNo=dUfQ88k%2BdvCgTJSRXe8p0w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05440102,システムエンジニア・プログラマ【ＰＬ候補】,【大規模システム開発における設計・開発・テスト】金融、通信、物流、製造など様々な業界の業務系システムの開発を８～３０名のチームで行います。,"268,000円〜455,000円","										（1）09時30分〜18時15分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005440102&kJKbn=1&jGSHNo=Is%2FvjOR9TvndLl9Wtj0%2FEg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05443802,システムエンジニア・プログラマ,【大規模システム開発における設計・開発・テスト】金融、通信、物流、製造など様々な業界の業務系システムの開発を８～３０名のチームで行います。,"218,000円〜251,000円","										（1）09時30分〜18時15分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005443802&kJKbn=1&jGSHNo=Is%2FvjOR9TvndLl9Wtj0%2FEg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05576502,コンサルタント,【業務内容】＊ＩＴ戦略立案、システムグランドデザインに関わるコンサルティ,"300,000円〜500,000円","										（1）09時00分〜18時00分
",祝他,不問,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005576502&kJKbn=1&jGSHNo=fuXbqb5wtKaOBgQvZi%2BY1Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05579302,グルメ関連サイトの運用管理、マニュアル作成,＊パソコンやスマートフォン向けにイベントページや、運用ページの保守・運用を行います。必要に応じてドキュメント類の整備も行ってもらいます。,"220,000円〜370,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005579302&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05589102,＜経験浅可＞図書館システムの運用保守,図書館システムの運用保守を担当いただきます。業務を下記に示します。,"220,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005589102&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05598402,システムエンジニア,クラウドネイティブエンジニア顧客へのクラウドネイティブ開発・商用基盤の構築支援を行っていただきます。,"200,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005598402&kJKbn=1&jGSHNo=gu371yxtiH7%2FRFTJHQD%2Bjg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05648002,防災情報を伝達するシステムのバージョンアップ開発ＰＧ,防災情報を伝達するシステムのバージョンアップ開発をＪａｖａ言語で行います。,"300,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005648002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05655602,企業内向け購買システム開発ＰＧ（ＰＨＰ等）,・ＰＨＰ、Ｌａｒａｖｅｌ・ＭｙＳＱＬの環境で購買システムの開発を行って頂きます。,"220,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005655602&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
