求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13080-80203201,＜ＪＡＶＡ＞システム開発業務,コールセンターで使用するシステムの開発業務をご担当頂きます。・ＪＡＶＡを使用した画面部分の開発・チームでの作業,"350,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308080203201&kJKbn=1&jGSHNo=imEshX4p43ORgQ0bbLEqeA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
15010-37652801,業務系システムエンジニア,人事労務、会計の業務システムの社内開発を主な業務としており、設計からシステムテストまで携わって頂きます。大手メーカーから受注しており、発注元大手メーカーと一緒にエン,"260,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,新潟県新潟市中央区新潟県長岡市東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1501037652801&kJKbn=1&jGSHNo=h%2B5XlBvuqNin3p0tlZ%2FccQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-36129701,ＶＢ．Ｎｅｔシステムエンジニア（東京）,【内容】システムの開発業務【言語】ＶＢ．Ｎｅｔ,"250,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706036129701&kJKbn=1&jGSHNo=WE7gpKnkNli0bEdo9Yzkpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
40010-69756601,ＷＥＢ関連プロジェクトマネージャー（正）／千代田区,ビジネスプロセス分析・要件定義・基本設計・プロジェクト管理・推進・顧客対応等、プロジェクトの方向性を決定し、計画策定・実行管理するマネージメント業務,"281,250円〜437,500円","										（1）09時30分〜18時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4001069756601&kJKbn=1&jGSHNo=GHzMV9U3S7QtP3Av5%2FL04w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13938302,ＣＯＢＯＬプログラマー、ＳＥ／正社員／クレジット、富士通,富士通汎用機を使用した、ＣＯＢＯＬやＹＰＳ／ＣＯＢＯＬによる業務アプリケーションの設計及び開発をして頂きます。開発案件は、クレジットの途上与信システム、延滞債権管理システム,"249,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013938302&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13946302,Ｊａｖａシステムエンジニア,オープン系システムの設計・開発言語：Ｊａｖａ,"250,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013946302&kJKbn=1&jGSHNo=ApCYJ9%2FNxWBJ5E%2BKna3NqQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13949402,ＣＯＢＯＬプログラマー、ＳＥ／正社員／生保、日立汎用機,日立汎用機を使用した、ＣＯＢＯＬ言語による業務アプリケーションの設計及び開発をして頂きます。開発案件は、生保の新契約システム、契約保全システムです。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013949402&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14013902,正社員採用／マイグレーション技術者／ＣＯＢＯＬ→Ｊａｖａ,汎用機ＣＯＢＯＬからＪａｖａへマイグレーションをお願いします。ＯＳ：ＬＩＮＵＸ,"320,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014013902&kJKbn=1&jGSHNo=M9EHAtUacvsHAvgkJrQzsg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-19030602,〔設計〕Ｌｉｎｕｘサーバーエンジニア,Ｌｉｎｕｘサーバーの設計・構築を担当していただきます。スキルに合わせて業務をお任せしますが、経験の浅い方には先輩がしっかりサポートします。,"250,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304019030602&kJKbn=1&jGSHNo=axxxKDssMc1GpK8DGmJAFw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13454602,ＩＴインフラ技術者／トライアル併用,ＩＴインフラ系エンジニアとして主にネットワーク・サーバの設計、構築、運用に携わっていただきます。,"200,000円〜350,000円",変形労働時間制,他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013454602&kJKbn=1&jGSHNo=C8UL1pC5%2B3tH%2F5XHbtgxaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13521402,システムエンジニア（医療系）,システム設計・開発（環境）ＡＳＰ．ＮＥＴ，ＶＢ．ＮＥＴ,"200,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013521402&kJKbn=1&jGSHNo=kRCyfX3KuDUyTKVEcgAOKg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13535002,サーバーエンジニア【経験不問】,企業で用いる業務システムの運用・設計・構築に携わっていただきます。＊入社後は、ＩＴ関連知識の習熟の為１ヶ月のＩＴ研修を実施いた,"200,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013535002&kJKbn=1&jGSHNo=y0M7HhaSK9UDdULmCYySGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13536302,ネットワークエンジニア,ネットワークエンジニアを募集しています。・サーバができることは何か・ネットワークがなぜつながるのか,"200,000円〜300,000円","										（1）09時00分〜18時00分
",他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013536302&kJKbn=1&jGSHNo=y0M7HhaSK9UDdULmCYySGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13542602,証券系システム開発エンジニア,証券系システム開発のお仕事です。【言語】問わず,"270,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013542602&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13543002,【新宿】証券系システム開発エンジニア,証券系システム開発のお仕事です。【言語】問わず,"270,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013543002&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13546102,Ｗｅｂシステムの運用開発,Ｗｅｂシステム運用開発のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013546102&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13548702,【新宿】Ｗｅｂシステムの運用開発,Ｗｅｂシステム運用開発のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝,不問,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013548702&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13604602,システムエンジニア・プログラマー,コンピューターソフトウェア開発・基盤系ＡＰ開発・金融系・クレジット系業務開発,"192,000円〜250,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013604602&kJKbn=1&jGSHNo=SrRveEU5mjtC8cnAxNbHEg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13648002,プログラマー（ＪＡＶＡ）,１）次期システムパッケージ開発支援業務２）プログラム作成３）単体、総合テスト,"200,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013648002&kJKbn=1&jGSHNo=dY1MnGPrI3%2BE%2BAtpirn3FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13722402,【自社内開発／リモートワーク】自社内開発・ＩＴエンジニア,●野村総合研究所（ＮＲＩ）との太いパイプの元、リース業向け基幹システム全ての基本設計～詳細設計・運用・保守を行います。●プロジェクトは３～３０名。上流工程から下流工程までスキルに,"296,000円〜444,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013722402&kJKbn=1&jGSHNo=CMc2a5xBWUw9s6v0H1XmoQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18839102,【正社員】プロジェクトリーダー／東京本社／港区,主にエンドユーザーより直接受注したプロジェクトにたずさわって頂きます。＊ご経験に応じて企画・提案～開発・構築～保守・運用までを一貫してご担当頂きます。,"248,500円〜479,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018839102&kJKbn=1&jGSHNo=hyef3NTs7wjIM2EKJp2yGw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18844002,インフラ運用・維持管理業務,サーバ構築後の運用、維持管理を中心に業務をお任せします。シェルの作成経験がある方大歓迎です。（ｂａｓｈ等）チーム内でスキルに見合ったタスクを割り振りします。そのため、,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018844002&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18846902,アプリケーションエンジニア,Ｗｅｂおよび業務アプリケーションの開発などに携わって頂きます。『Ｗｉｎｄｏｗｓ』や『Ｌｉｎｕｘ』環境での開発となります。,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018846902&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18847102,プロダクト保守開発エンジニア,通信業向けの業務システム上で動作するプロダクトの保守開発業務です。Ｃ言語／Ｊａｖａ／Ｐｙｔｈｏｎ／ＰＨＰ／Ｒｕｂｙ等を使用した開発を行っております。,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018847102&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18849702,インフラ運用・保守ＳＥ,物流系システムの運用・保守に携わって頂きます。ＳｏｌａｒｉｓやＷｉｎｄｏｗｓ環境での作業経験がある方大歓迎です。,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018849702&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18851602,サーバ構築・設計,サーバ構築・設計などの業務をお任せします。エンジニアの希望する業務内容でタスク割り振りを行っているため、希望する作業を担当しやすい環境です。,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018851602&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18854902,ＩＴエンジニア,当社は金融や通信、電力会社など様々な業種のシステム開発案件を手掛けています。「システム・アプリ系開発（Ｊａｖａ／ＶＢ／ＰＨＰ等）」,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018854902&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18910402,ネットワークエンジニア（Ｃｉｓｃｏ）,各種ネットワーク設計・構築・保守をご担当頂きます。Ｃｉｓｃｏ製品での業務経験がある方大歓迎です。経験が浅い方やブランクのある方でもスムーズに業務を行えるよう,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018910402&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18930502,インフラおよび開発エンジニア募集,当社では、「ソフトウェア開発」「インフラ運用・設計・構築」など幅広い分野で業務を行っています。様々な言語を使用した開発業務やミドルウェア、ＯＳ、ネットワー,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018930502&kJKbn=1&jGSHNo=eNRBX4%2Bc948t%2F9IqNky7pw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
20020-17595801,ＰＭ／ＰＭＯ／システムエンジニア,＊各種コンピュータシステム（主にアプリケーション）の開発プロジェクトにて、ＰＭ、ＰＭＯ、業務ＳＥのいずれかを担当していただきます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2002017595801&kJKbn=1&jGSHNo=KWS%2BMtRHtFE9d7TK13s%2Bhg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
38010-36312201,自治体向けホームページ構築関連のシステムエンジニア／東京,＊サーバ・ネットワークの設計、構築、運用、保守業務＊セキュリティの対策、管理業務＊自社製ソフトウェアの開発業務,"249,000円〜300,000円",変形労働時間制,土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=3801036312201&kJKbn=1&jGSHNo=uoMT1oeB4NlmtPoK3g1MfQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
04010-61011201,プロジェクトマネージャー,上流工程から保守まで、システム開発全般をマネージメントして頂きます。〈主な業務〉・クライアントへの要件定義、折衝・スケジュール管理などのプロジェクト管理全般,"324,300円〜389,600円",フレックスタイム制,土日祝,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0401061011201&kJKbn=1&jGSHNo=1YXczMklMhPqNdxm1N5BVw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13141902,インフラ（サーバー）エンジニア,ネットワークサーバーの設計・構築・運用・社内及び客先のＬｉｎｕｘ、Ｕｎｉｘ、Ｗｉｎｄｏｗｓなどの,"206,000円〜400,000円","										（1）09時00分〜18時00分
",日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013141902&kJKbn=1&jGSHNo=NRkzRAtidE13ScIOOZiNww%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13153702,システムエンジニア,自社内開発パッケージソフト開発メンバーを募集します。業界トップシェアの当社貿易ソフトは海外と取り引きする企業が利用しており、直取引は２００社を超える導入実績があります。,"320,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013153702&kJKbn=1&jGSHNo=Ik6V9mPMadZNRm4cN1GJNQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13198502,インフラエンジニア（運用保守～構築）,お客様向けシステムに関するインフラの運用，保守，監視～設計，構築までスキルに合った業務を担当して頂きます。,"180,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013198502&kJKbn=1&jGSHNo=BngwnUNZs%2F8cux3vyMYHFg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13206102,サーバー技術者,Ｗｉｎｄｏｗｓ、ＵＮＩＸ、ＬＩＮＵＸサーバーの構築・運用・保守,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013206102&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13208702,ＡＩＸサーバ構築,・ＡＩＸサーバの構築・保守（Ｋ－Ｓｈｅｌｌ必須）・Ｔｉｖｏｌｉの導入運用・Ｏｒａｃｌｅの構築・保守,"250,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013208702&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13330802,ソフトウェア営業職,セキュリティ事業、ＩＰ通信事業の営業営業事務客先打ち合わせ,"250,000円〜350,000円","										（1）08時45分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013330802&kJKbn=1&jGSHNo=9b%2FuUJnF0x0ZPlg5UE747g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13385902,ＩＴプロダクト事業部（管理職）,下記業務及びその統括管理＊各製品に対する販売促進策の立案・実行＊企画開発の工程管理、品質管理、稼働管理、営業支援,"400,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013385902&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13390602,ＳＥＳ派遣営業（部長級）,・事業責任者として、部門管理全般・予算計画、実績管理・既存顧客／ビジネスパートナーの取引拡大と新規開拓,"400,000円〜650,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013390602&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-79499301,ＳＥ／ＰＧ（Ｊａｖａ・ＰＨＰ・Ｒｕｂｙ・Ｐｙｔｈｏｎ等）,アプリやシステム開発等がメインとなります。システム開発に専念することも、意欲や経験に応じて、社長と一緒,"260,000円〜550,000円",フレックスタイム制,土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308079499301&kJKbn=1&jGSHNo=J7jSGD4M4hpKcEBgavfqZw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-79685301,＜Ｐｙｔｈｏｎ＞ＢＩツール作成業務,証券会社向けのＢＩツールを作成して頂きます。フェーズ：基本設計～テスト,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308079685301&kJKbn=1&jGSHNo=imEshX4p43ORgQ0bbLEqeA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
10020-18520801,システムエンジニア（東京都）（金融系）,システム設計・開発（環境）Ｊａｖａ、Ｏｒａｃｌｅ、ＰＬ／ＳＱＬ、Ｕｎｉｘ,"200,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1002018520801&kJKbn=1&jGSHNo=p3Wq9lI8PR4cgNFZcvbSAQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12899902,＜サポート体制有り＞Ｌｉｎｕｘ構築エンジニア,服飾系業界のＥＣサイトの基盤構築を担当いただきます。スキル要素は多岐に渡りますが、先輩社員のフォローがあります。,"230,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012899902&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12942502,システムエンジニア（ＪＡＶＡ）,１）次期システムパッケージ開発支援業務２）既存システムのマイグレーション３）基本設計,"300,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012942502&kJKbn=1&jGSHNo=dY1MnGPrI3%2BE%2BAtpirn3FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13013802,システム開発,・金融システムの中でも特に銀行、証券のシステム開発をメインに担当していただきます。,"250,000円〜350,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013013802&kJKbn=1&jGSHNo=hpY1eMlhKQ%2FdjMu0alhdrw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-13018302,【未経験者】システム設計／プログラマー,・未経験でも社内にて一から研修を受け、技術が身に付いたら、先輩社員の下で現場にて、金融業務に従事しながら、スキルを身に付けていきます。,"200,000円〜250,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301013018302&kJKbn=1&jGSHNo=hpY1eMlhKQ%2FdjMu0alhdrw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
